ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x3da1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,conditions Cloudy,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,16
0x272d,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,19
0xddc5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,conditions Sunny,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,27
0x8e6c,VADRES02DEL02,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,20:35:00,20:50:00,conditions Fog,Jam ,2,Snack ,scooter ,1,No ,Semi-Urban ,49
0xb002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00,conditions Windy,Low ,2,Buffet ,scooter ,0,No ,NaN ,20
0x395b,VADRES04DEL03,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,20:15:00,20:20:00,conditions Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,30
0x8aa2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Urban ,18
0xb55a,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,conditions Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,22
0x73cc,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,34
0xbe80,MUMRES04DEL01,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,24
0x1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,conditions Fog,Medium ,2,Drinks ,scooter ,1,No ,Metropolitian ,17
0xd255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,14
0xde72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,conditions Stormy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,30
0x98aa,VADRES16DEL02,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,conditions Stormy,Low ,1,Meal ,scooter ,1,No ,Metropolitian ,15
0x273a,VADRES09DEL01,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,15:55:00,16:05:00,conditions Fog,Medium ,2,Buffet ,scooter ,1,No ,Urban ,16
0xa258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,conditions Cloudy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,36
0x8b53,SURRES11DEL01,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,conditions Sunny,High ,1,Buffet ,scooter ,1,No ,Urban ,18
0xbbde,SURRES01DEL01,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,conditions Fog,Medium ,1,Meal ,scooter ,0,No ,Metropolitian ,17
0x5ded,VADRES15DEL02,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,22:10:00,22:15:00,conditions Sandstorms,Low ,1,Buffet ,motorcycle ,1,No ,Urban ,15
0x1a70,MYSRES14DEL02,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,10:35:00,10:45:00,conditions Fog,Low ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,17
0x4b7f,HYDRES13DEL03,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00,conditions Fog,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,10
0xc606,BHPRES12DEL02,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,21:10:00,21:25:00,conditions Fog,Jam ,1,Drinks ,motorcycle ,1,No ,Metropolitian ,27
0xb962,CHENRES11DEL03,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,conditions Sandstorms,Jam ,1,Buffet ,motorcycle ,2,No ,Metropolitian ,37
0x633c,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,conditions Fog,Jam ,1,Drinks ,scooter ,2,No ,Metropolitian ,44
0x2dc6,VADRES20DEL01,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,conditions Windy,High ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,28
0x903a,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,conditions Cloudy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,42
0xc444,DEHRES01DEL01,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,23:40:00,23:55:00,conditions Windy,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,25
0x1fb7,CHENRES02DEL01,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,conditions Cloudy,Medium ,2,Snack ,scooter ,1,No ,Metropolitian ,39
0x34d7,MUMRES04DEL01,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,conditions Stormy,Medium ,0,Meal ,motorcycle ,0,No ,Urban ,20
0x156b,JAPRES03DEL02,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,conditions Stormy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,31
0x56ad,HYDRES04DEL03,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,conditions Stormy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,13
0xcbc4,GOARES04DEL01,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,conditions Windy,High ,1,Snack ,scooter ,1,No ,Urban ,19
0xc19e,AURGRES08DEL02,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,conditions Fog,Low ,0,Buffet ,motorcycle ,2,Yes ,Urban ,42
0x1d60,BANGRES12DEL01,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,conditions Fog,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23
0x95fb,HYDRES05DEL01,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,conditions Stormy,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,39
0x8195,RANCHIRES17DEL01,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,conditions Stormy,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,25
0xc042,AGRRES010DEL01,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,15
0x6d19,INDORES12DEL02,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Urban ,15
0x35e6,JAPRES15DEL03,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,conditions Sunny,Medium ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,15
0x97e3,MYSRES16DEL02,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,18
0xa3e0,MUMRES05DEL03,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,conditions Sandstorms,Low ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,29
0x4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,conditions Fog,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,20
0x1236,MYSRES07DEL01,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,conditions Cloudy,High ,2,Meal ,scooter ,1,No ,Metropolitian ,39
0x2558,PUNERES17DEL01,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,conditions Windy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,19
0x3185,HYDRES19DEL03,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,conditions Cloudy,Low ,1,Snack ,scooter ,1,No ,Urban ,19
0x3c57,MUMRES14DEL02,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,conditions Windy,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,17
0x4863,COIMBRES02DEL01,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,conditions Stormy,Low ,2,Snack ,motorcycle ,1,No ,Urban ,15
0x6757,INDORES05DEL02,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,0,No ,Urban ,19
0x22ad,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,conditions Sandstorms,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,29
0x9f99,MUMRES11DEL01,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,conditions Cloudy,Low ,2,Snack ,scooter ,1,No ,Urban ,22
0x6781,MYSRES12DEL02,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,conditions Fog,Jam ,1,Drinks ,scooter ,0,No ,Metropolitian ,42
0x1b8d,SURRES09DEL02,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,conditions Sandstorms,Low ,2,Snack ,scooter ,0,No ,Urban ,12
0x1aea,COIMBRES12DEL02,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,conditions Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,38
0x1e42,SURRES08DEL01,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23
0xddc8,KNPRES05DEL02,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,conditions Cloudy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,15
0x24ac,SURRES05DEL02,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,conditions Sunny,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,24
0x3f01,MUMRES15DEL01,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,conditions Windy,Jam ,1,Drinks ,motorcycle ,0,No ,Metropolitian ,37
0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,conditions Sandstorms,Low ,1,Snack ,scooter ,0,No ,Metropolitian ,24
0x6c38,RANCHIRES11DEL03,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,conditions Sunny,Low ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,13
0x4beb,MYSRES08DEL01,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,09:15:00,09:30:00,conditions Cloudy,Low ,0,Drinks ,motorcycle ,0,No ,NaN ,16
0x8339,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,conditions Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,42
0x3ec5,RANCHIRES01DEL03,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22:10:00,22:20:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,17
0xadb4,JAPRES17DEL03,24,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20:50:00,21:05:00,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,25
0x2bc0,INDORES14DEL01,39,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,18:45:00,18:50:00,conditions Fog,Medium ,1,Snack ,scooter ,0,No ,Metropolitian ,39
0x99e7,COIMBRES17DEL01,37,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,14:55:00,15:05:00,conditions Sunny,High ,2,Meal ,scooter ,0,No ,Metropolitian ,18
0x39ef,CHENRES11DEL01,32,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,16:50:00,17:00:00,conditions Sandstorms,Medium ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,28
0xe264,KNPRES17DEL02,22,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,22:20:00,22:35:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,18
0xbd03,COIMBRES12DEL02,23,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,00:00:00,00:15:00,conditions Windy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,18
0x9a29,RANCHIRES04DEL01,33,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,21:10:00,21:20:00,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,49
0xd0e5,KOLRES17DEL03,23,,22.569358,88.433452,22.599358,88.463452,2022-02-17,23:25:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,15
0xa480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,23:30:00,23:35:00,conditions Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,21
0xb46c,MUMRES17DEL01,34,4.7,19.121999,72.908493,19.161999,72.948493,2022-03-01,14:20:00,14:35:00,conditions Sunny,High ,2,Snack ,scooter ,0,No ,Metropolitian ,23
0x7150,SURRES14DEL01,26,5.0,21.157729,72.768726,21.167729,72.778726,2022-04-03,10:15:00,10:25:00,conditions Fog,Low ,2,Meal ,scooter ,1,No ,Urban ,11
0x1e58,VADRES14DEL03,31,4.6,22.311603,73.165012,22.371603,73.225012,2022-03-24,21:20:00,21:35:00,conditions Cloudy,Jam ,0,Snack ,motorcycle ,0,No ,Metropolitian ,25
0x4460,PUNERES09DEL02,32,4.9,18.536562,73.896485,18.556562,73.916485,2022-03-07,08:50:00,08:55:00,conditions Fog,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,18
0x977d,INDORES19DEL02,27,4.7,22.745536,75.893106,22.765536,75.913106,2022-03-09,09:00:00,09:05:00,conditions Cloudy,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,14
0x1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,2022-03-12,17:45:00,18:00:00,conditions Windy,Medium ,0,Drinks ,motorcycle ,2,No ,Metropolitian ,36
0x5a01,VADRES04DEL01,24,4.9,0.0,0.0,0.04,0.04,2022-03-30,16:35:00,16:50:00,conditions Fog,Medium ,1,Meal ,scooter ,1,No ,Urban ,17
0x655,HYDRES14DEL01,33,4.4,17.426228,78.407495,17.436228,78.417495,2022-03-05,08:30:00,08:40:00,conditions Sandstorms,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,28
0x20f6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,2022-03-18,20:35:00,20:50:00,conditions Fog,Jam ,0,Buffet ,motorcycle ,0,Yes ,Metropolitian ,44
0x3db1,COIMBRES13DEL03,31,4.3,11.003669,76.976494,11.063669,77.036494,2022-03-13,23:25:00,23:40:00,conditions Windy,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,20
